date,scientific_name,common_name,zone,site,plot,pit,spp,sex,rcap,toe_num,sv_length,total_length,weight,tail,pc
6/16/92,holbrookia maculata,lesser earless,g,basn,b,14,homa,f,n,24,55,120,5,w,1
6/16/92,unknown lizard,unknown,g,ibpe,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
6/16/92,unknown lizard,unknown,g,ibpe,c,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
6/16/92,unknown lizard,unknown,m,rabb,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,1
6/16/92,cnemidophorus tigrisatus,western whiptail,m,rabb,c,1,cnti,m,n,511,60,215,9,w,0
6/16/92,unknown lizard,unknown,m,well,b,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
6/16/92,unknown lizard,unknown,t,east,b,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
6/16/92,unknown lizard,unknown,t,west,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
6/19/92,unknown lizard,unknown,c,cali,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
6/19/92,phrynosoma cornutum,texas horned,c,grav,d,NA,phco,f,NA,15,57,94,10,w,0
6/19/92,uta stansburiana,side-blotched lizard,c,sand,b,NA,utst,m,n,2203,55,112,5,b,0
