date,scientific_name,common_name,zone,site,plot,pit,spp,sex,rcap,toe_num,sv_length,total_length,weight,tail,pc
6/28/91,phrynosoma modestum,roundtail horned,t,east,b,14,phmo,f,n,11,44,66,5,w,0
6/28/91,cnemidophorus tigrisatus,western whiptail,t,west,a,3,cnti,m,n,503,71,256,12,w,0
6/28/91,cnemidophorus inornatus,little striped,t,west,a,4,cnin,m,n,35,41,153,3,w,0
6/28/91,sceloporus undulatus,eastern fence,t,west,a,8,scun,m,n,22,52,194,4,w,0
7/9/91,unknown lizard,unknown,c,cali,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
7/9/91,phrynosoma modestum,roundtail horned,c,grav,d,NA,phmo,m,n,12,50,78,5,w,1
7/9/91,cnemidophorus inornatus,little striped,c,grav,d,2,cnin,f,n,41,60,178,4,w,0
7/9/91,uta stansburiana,side-blotched lizard,c,sand,b,14,utst,j,n,NA,23,61,1,w,0
7/9/91,holbrookia maculata,lesser earless,g,basn,b,12,homa,f,r,15,52,126,7,w,0
7/9/91,unknown lizard,unknown,g,ibpe,a,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
7/9/91,unknown lizard,unknown,g,ibpe,c,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
7/9/91,cnemidophorus neomexicanus,new mexico,m,rabb,a,9,cnne,f,n,21,60,240,7,w,0
7/9/91,sceloporus undulatus,eastern fence,m,rabb,a,11,scun,j,n,NA,24,NA,1,b,0
7/9/91,sceloporus undulatus,eastern fence,m,rabb,c,12,scun,j,n,NA,23,58,1,w,1
7/9/91,uta stansburiana,side-blotched lizard,m,rabb,c,16,utst,j,n,NA,23,NA,NA,b,0
7/9/91,unknown lizard,unknown,m,well,b,NA,ukli,NA,NA,NA,NA,NA,NA,NA,0
7/9/91,uta stansburiana,side-blotched lizard,t,east,b,4,utst,j,n,NA,22,50,1,w,0
7/9/91,uta stansburiana,side-blotched lizard,t,east,b,5,utst,j,n,NA,23,52,1,w,0
7/9/91,cnemidophorus tigrisatus,western whiptail,t,east,b,9,cnti,f,n,504,63,118,6,w,0
7/9/91,uta stansburiana,side-blotched lizard,t,east,b,12,utst,j,n,NA,24,30,1,w,0
